"","dyad_id","cantons","year","canton1","canton2","ID_SM","title","time","pollution","border","construction","shipping","fish","power","river","enf_cant","enf_comm","mon_cant","mon_comm","conf_dir","conf_body","conf_fed","enforcement","monitoring","conflict","commission","info_exchange","obligation","cost","bilateral","treaty_yes","date","agr_cum","conflict_cum","monitoring_cum","commission_cum","agr_one","conflict_one","monitoring_one","commission_one","agreement_sqrt","conflict_sqrt","monitoring_sqrt","commission_sqrt","any_mech_yes","drain_1_to_2","drain_2_to_1","total_wat","share_drain_1","share_drain_2","symmetry","bi_lingue"
"33",1,"AG BE",1873,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"34",1,"AG BE",1874,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"35",1,"AG BE",1875,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"36",1,"AG BE",1876,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"37",1,"AG BE",1877,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"38",1,"AG BE",1878,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"39",1,"AG BE",1879,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"40",1,"AG BE",1880,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"41",1,"AG BE",1881,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
"42",1,"AG BE",1882,"AG","BE",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,5675,0,1,0,1
